ID,Effort Mean,Effort SD,Value mean,Value SD,Precedence
d.5.5,3.85,0.164,0,0,
d.6,4.4,0.132,3.64,0.71,
d.7,4.4,0.132,0,0,
e.1.1,4.8,0.12,0,0,
e.1.2,5.56,0.1,2.2,0.64,
e.1.3,4.86,0.14,0,0,
e.2,4.99,0.21,2.2,0.64,
e.3,3.21,0.124,0,0,
f.1,3.54,0.18,1.73,0.69,
f.2.1,5.25,0.146,2.7,0.68,
f.2.2,3.54,0.18,0,0,
f.3,3.54,0.18,0,0,
f.4.1,4.97,0.11,3.16,0.73,
f.5,5.38,0.113,0,0,
f.6.1,5.24,0.1,3.04,0.7,
f.6.2,3.54,0.18,0.58,0.67,
f.6.3,3.11,0.114,0,0,
g.1.1,4.86,0.14,1.79,0.76,
g.1.2,5.7,0.1,4.36,0.7,
g.2.1,5.7,0.1,2.42,0.69,
g.2.2,5.25,0.146,3.04,0.7,
g.2.3,5.65,0.14,2.7,0.68,
g.3.1,6.01,0.136,0,0,
g.3.2,6.01,0.136,3.82,0.7,
g.4.1,4.74,0.14,0,0,
g.4.2,3.54,0.18,0,0,
g.4.3,4.87,0.14,0,0,
g.4.4,3.54,0.18,3.11,0.69,
g.4.5,4.4,0.132,1.73,0.69,
g.5,3.2,0.23,1.73,0.69,
h.1,4.4,0.132,0.22,0.7,
h.2.1,5,0.03,1.21,0.56,
h.2.2,2.69,0.21,0,0,
h.2.3,4.74,0.14,2,0.67,
h.2.4,5.65,0.14,1.73,0.69,
h.3,4.74,0.14,3.11,0.69,
h.4,3.2,0.23,1.39,0.76,
h.5.1,6.1,0.13,0.53,0.6,
i.1.1,4.31,0.12,0,0,
i.1.2,4.97,0.11,0,0,
i.1.3,2.69,0.21,0,0,
i.1.4,2.69,0.21,0,0,
i.2.1,3.2,0.23,0,0,
i.2.2,3.2,0.23,0,0,
i.2.3,3.2,0.23,3.04,0.7,
i.2.4,3.2,0.23,0,0,
i.2.5,3.2,0.23,1.73,0.69,
i.2.6,3.2,0.23,0,0,
i.3.1,3.54,0.18,1.39,0.76,
i.3.2,4.24,0.18,0,0,
i.3.3,3.21,0.124,2.43,0.7,
i.3.4,3.21,0.124,1.39,0.76,
i.3.5,4.7,0.05,1.73,0.69,
i.3.6,4.87,0.14,2.29,0.75,
j.1.1,5.56,0.1,3.12,0.7,
j.1.2,2.99,0.16,0,0,
j.2.1,3.91,0.12,0.58,0.67,
j.2.2,3.2,0.23,1.39,0.76,
j.2.3,3.2,0.23,1.73,0.69,
j.2.4,4.2,0.18,0,0,
j.3.1,2.4,0.22,0,0,
j.3.2,4.52,0.154,0,0,
j.3.3,2.69,0.21,0.78,0.85,
j.3.4,4.24,0.18,2.2,0.64,
j.4.1,3.2,0.23,0.22,0.7,
j.5.1,3.11,0.114,0,0,
j.5.2,6.1,0.14,0,0,
j.5.3,5.65,0.14,0,0,
j.5.4,5.68,0.12,0,0,
j.5.5,2.71,0.21,2.26,0.71,
j.6.1,3.2,0.23,0,0,
j.6.2,5.89,0.15,1.73,0.69,
j.6.3,5.96,0.14,3.73,0.7,
j.6.4,3.91,0.12,2.7,0.68,
j.7.1,4.28,0.15,0,0,
j.7.2,4.28,0.15,0,0,
j.8,4.86,0.14,0,0,
j.9,5.25,0.146,0,0,
j.10,5,0.03,0,0,
j.11,3.2,0.23,0,0,
j.12,3.55,0.18,0,0,
j.13,3.2,0.23,0,0,
